@relation features

@attribute MEAN_105_0 numeric
@attribute MEAN_105_1 numeric
@attribute VARIANCE_105_0 numeric
@attribute VARIANCE_105_1 numeric
@attribute MEAN_106_0 numeric
@attribute MEAN_106_1 numeric
@attribute VARIANCE_106_0 numeric
@attribute VARIANCE_106_1 numeric
@attribute VARIANCE_6_0 numeric
@attribute class {slow_walking,fast_walking,slow_running,fast_running,upstairs,downstairs}

@data
9.734233,-0.858056,2.480494,3.588812,1.090587,-0.152947,0.15646,0.253248,0.00361,slow_walking
9.581932,-0.795563,2.013986,3.431453,0.996832,-0.091727,0.134269,0.238541,0.003427,slow_walking
9.869149,-0.220059,2.686587,3.582792,0.940401,0.001139,0.180434,0.177886,0.003701,slow_walking
9.559485,-0.395765,1.138585,3.529953,0.918701,-0.162365,0.199863,0.204171,0.005216,slow_walking
9.676985,-1.275837,5.159295,7.632541,1.394422,-0.091142,0.318608,0.344979,0.008995,fast_walking
9.908968,-0.864355,5.52061,6.198102,1.486374,0.017002,0.346742,0.513332,0.015266,fast_walking
9.894354,-0.868363,5.335727,5.946776,1.403912,-0.058818,0.269743,0.4019,0.012265,fast_walking
9.682031,-0.996638,5.908672,5.785377,1.359179,-0.100383,0.243723,0.400938,0.012038,fast_walking
9.644202,-0.674097,5.138929,5.376839,1.411564,0.011891,0.295117,0.451798,0.011661,fast_walking
9.729556,-0.704701,4.925193,5.170685,1.389414,-0.094928,0.253533,0.311929,0.006072,fast_walking
9.720897,-0.89676,5.231542,5.62129,1.373149,-0.140264,0.365302,0.329743,0.007391,fast_walking
9.727352,-0.803105,6.385092,7.823063,1.452196,0.000162,0.44306,0.41325,0.010096,fast_walking
9.909516,-0.869106,5.8515,7.30993,1.464592,-0.074218,0.443036,0.322536,0.007987,fast_walking
9.695285,-0.95098,6.08556,7.772321,1.52986,-0.121996,0.503225,0.31902,0.009984,fast_walking
9.772963,-0.610259,6.404611,7.726502,1.669657,-0.066045,0.42829,0.394484,0.010262,fast_walking
9.862541,-0.735265,6.047538,7.300735,1.55688,-0.109111,0.368285,0.300599,0.008223,fast_walking
9.795971,-0.957992,5.606011,7.248131,1.540315,-0.220088,0.425105,0.425409,0.008997,fast_walking
9.918184,-0.722572,5.183768,7.023808,1.642502,-0.046157,0.403713,0.559614,0.014666,fast_walking
9.978004,-0.804287,4.925267,6.465794,1.546366,-0.101175,0.376793,0.517176,0.012427,fast_walking
9.72883,-0.778887,5.345647,5.976161,1.528186,-0.144937,0.345524,0.503666,0.016135,fast_walking
