@relation features

@attribute ORIENTATION_POLAR numeric
@attribute ORIENTATION_AZIMUTH numeric
@attribute class {sitting,standing,lift}

@data
-0.077386,3.060583,sitting
-0.077416,3.06055,sitting
-0.077746,3.060198,sitting
-0.077364,3.060588,sitting
-0.077413,3.060554,sitting
-0.077311,3.060656,sitting
-0.077134,3.060873,sitting
-0.078016,3.059976,sitting
-0.077866,3.060172,sitting
-0.077673,3.060331,sitting
-0.077432,3.060602,sitting
1.344992,-1.416577,standing
1.345832,-1.418623,standing
1.348615,-1.422067,standing
1.358542,-1.427616,standing
1.369894,-1.433496,standing
1.380602,-1.438117,standing
1.386059,-1.439154,standing
1.390007,-1.440004,standing
1.394026,-1.443536,standing
1.397094,-1.446228,standing
1.395735,-1.44621,standing
1.390563,-1.442763,standing
1.384089,-1.438027,standing
1.380782,-1.436744,standing
1.381457,-1.43739,standing
1.382517,-1.438559,standing
1.382437,-1.437269,standing
1.380431,-1.435659,standing
1.381263,-1.436029,standing
1.380265,-1.434852,standing
1.380311,-1.435028,standing
1.197824,-1.406333,standing
1.199143,-1.403435,standing
1.197006,-1.401022,standing
1.186764,-1.39403,standing
