null,349897026,3.718466,8.916007,0.747311,0.226326
null,349897051,3.718466,8.916007,0.134774,0.062308
null,349897058,3.718466,8.916007,0.109533,0.055589
null,349897068,3.718466,8.916007,0.096328,0.037263
null,349897070,3.718466,8.916007,0.094962,0.027794
null,349897077,3.718466,8.916007,0.106484,0.042761
null,349897084,3.718466,8.916007,0.049931,0.066890
null,349897098,3.718466,8.916007,0.015944,0.074220
null,349897109,3.511568,9.088389,0.055548,0.047342
null,349897129,3.511568,9.088389,0.047634,0.040012
null,349897137,3.511568,9.088389,0.030313,0.033903
null,349897146,3.511568,9.088389,0.055661,0.018631
null,349897155,3.511568,9.088389,0.079596,0.014966
null,349897165,3.511568,9.088389,0.122859,0.022297
null,349897180,3.511568,9.088389,0.061212,0.027794
null,349897187,3.511568,9.088389,0.010456,0.031765
null,349897199,3.511568,9.088389,0.044593,0.063530
null,349897218,3.511568,9.088389,0.045497,0.051618
null,349897227,3.460727,8.973468,0.041279,0.018937
null,349897233,3.460727,8.973468,0.095877,0.004276
null,349897247,3.460727,8.973468,0.092308,-0.007025
null,349897258,3.460727,8.973468,0.101332,-0.010079
null,349897266,3.460727,8.973468,0.058746,-0.002138
null,349897274,3.460727,8.973468,0.015266,0.015272
null,349897287,3.460727,8.973468,0.010725,0.021380
null,349897298,3.460727,8.973468,0.021337,0.009468
null,349897319,3.460727,8.973468,0.034157,-0.019242
null,349897333,3.460727,8.973468,0.079223,-0.028711
null,349897357,3.462648,8.935161,0.128759,-0.036041
null,349897367,3.462648,8.935161,0.106463,-0.048564
null,349897386,3.462648,8.935161,0.026363,-0.069639
null,349897400,3.462648,8.935161,0.023471,-0.059865
null,349897425,3.462648,8.935161,0.052843,-0.010996
null,349897438,3.462648,8.935161,0.015574,-0.010996
null,349897453,3.462648,8.935161,0.024285,-0.053756
null,349897467,3.462648,8.935161,0.024383,-0.088270
null,349897497,3.462648,8.935161,0.045648,-0.122478
null,349897539,3.462648,8.935161,0.067512,-0.165239
null,349897550,3.532687,8.877700,0.077159,-0.161574
null,349897568,3.532687,8.877700,0.032522,-0.141415
null,349897593,3.532687,8.877700,0.075438,-0.098655
null,349897627,3.532687,8.877700,0.080954,-0.081245
null,349897655,3.532687,8.877700,0.027232,-0.078802
null,349897666,3.532687,8.877700,0.099817,-0.029016
null,349897671,3.532687,8.877700,0.051227,0.040317
null,349897681,3.532687,8.877700,0.061350,0.083078
null,349897690,3.532687,8.877700,0.103065,0.073915
null,349897713,3.532687,8.877700,0.146178,0.048564
null,349897725,3.549276,9.481039,0.143490,0.024740
null,349897732,3.549276,9.481039,0.098215,-0.003971
null,349897742,3.549276,9.481039,0.126790,-0.006109
null,349897746,3.549276,9.481039,0.050085,-0.014355
null,349897750,3.549276,9.481039,0.033326,-0.043371
null,349897773,3.549276,9.481039,0.052606,-0.070555
null,349897792,3.549276,9.481039,0.057106,-0.036346
null,349897799,3.549276,9.481039,0.068032,-0.015272
null,349897807,3.549276,9.481039,0.109113,-0.044899
null,349897812,3.499429,8.820239,0.048874,-0.044899
null,349897818,3.499429,8.820239,0.026312,-0.068417
null,349897822,3.499429,8.820239,0.078726,-0.088881
null,349897838,3.499429,8.820239,0.054860,-0.059865
null,349897851,3.499429,8.820239,0.114578,-0.049786
null,349897875,3.499429,8.820239,0.190825,-0.062614
null,349897880,3.499429,8.820239,0.317599,-0.072693
null,349897899,3.499429,8.820239,0.402595,-0.060781
null,349897909,3.499429,8.820239,0.449457,-0.090713
null,349897913,3.499429,8.820239,0.468877,-0.141415
null,349897915,3.736489,8.963891,0.362404,-0.181122
null,349897921,3.726756,8.983045,0.295410,-0.249233
null,349897932,3.877755,8.762778,0.255072,-0.339030
null,349897935,3.734930,8.762778,0.320716,-0.356440
null,349897935,3.958316,8.801085,0.435614,-0.310014
null,349897940,3.882967,8.963891,0.430403,-0.259312
null,349897942,3.961512,8.925584,0.156306,-0.098349
null,349897944,4.100149,8.954314,0.058363,0.025962
null,349897945,3.712356,9.184157,0.383299,0.576046
null,349897948,3.941923,9.519346,0.460272,0.660040
null,349897952,4.351708,8.829816,0.416786,0.368352
null,349897953,4.429012,8.705317,0.319773,-0.068417
